name,url,search_query
Funeats - Pure Veg | Cafe & Restaurant | Party Place,https://www.google.com/maps/place/Funeats+-+Pure+Veg+%7C+Cafe+%26+Restaurant+%7C+Party+Place/data=!4m7!3m6!1s0x3962fd73cca75ddf:0x31d3c590d6385d0a!8m2!3d22.7210768!4d75.8787311!16s%2Fg%2F11m0tg8n_3!19sChIJ312nzHP9YjkRCl041pDF0zE?authuser=0&hl=en&rclk=1,new restaurants in Indore
Shrivari Cafe - South Indian Restaurant,https://www.google.com/maps/place/Shrivari+Cafe+-+South+Indian+Restaurant/data=!4m7!3m6!1s0x3962fd10d68f67eb:0x67712821d0aa8b98!8m2!3d22.7191746!4d75.8748763!16s%2Fg%2F11ytfk8slr!19sChIJ62eP1hD9YjkRmIuq0CEocWc?authuser=0&hl=en&rclk=1,new restaurants in Indore
Dutt Gurukripa Restaurant,https://www.google.com/maps/place/Dutt+Gurukripa+Restaurant/data=!4m7!3m6!1s0x3962fd3e01f9a8f1:0xee2acafd9d69fa2d!8m2!3d22.7197246!4d75.8768473!16s%2Fg%2F11bwydf8x7!19sChIJ8aj5AT79YjkRLfppnf3KKu4?authuser=0&hl=en&rclk=1,new restaurants in Indore
Smoky Docky Indore,https://www.google.com/maps/place/Smoky+Docky+Indore/data=!4m7!3m6!1s0x3962fd00433e2f2f:0x2051fbdcfc81e6a4!8m2!3d22.7247689!4d75.8839397!16s%2Fg%2F11x83wk1cx!19sChIJLy8-QwD9YjkRpOaB_Nz7USA?authuser=0&hl=en&rclk=1,new restaurants in Indore
Atriaa Restaurant,https://www.google.com/maps/place/Atriaa+Restaurant/data=!4m7!3m6!1s0x3962fd537edd37df:0xe240cbbfe4ae0614!8m2!3d22.724977!4d75.87763!16s%2Fg%2F11vj56dxtq!19sChIJ3zfdflP9YjkRFAau5L_LQOI?authuser=0&hl=en&rclk=1,new restaurants in Indore
Dawat Top Family Restaurant,https://www.google.com/maps/place/Dawat+Top+Family+Restaurant/data=!4m7!3m6!1s0x3962fd389aef5ca1:0x76e33b84cd2dc197!8m2!3d22.7253668!4d75.8844852!16s%2Fg%2F11f3v7s884!19sChIJoVzvmjj9YjkRl8EtzYQ743Y?authuser=0&hl=en&rclk=1,new restaurants in Indore
Shree Chotiwala Restaurant,https://www.google.com/maps/place/Shree+Chotiwala+Restaurant/data=!4m7!3m6!1s0x3962fd1640000001:0xfc42c4d50be8e388!8m2!3d22.7195033!4d75.8767926!16s%2Fg%2F1vxw6p1p!19sChIJAQAAQBb9YjkRiOPoC9XEQvw?authuser=0&hl=en&rclk=1,new restaurants in Indore
Indore Biryani Point nonveg restaurant,https://www.google.com/maps/place/Indore+Biryani+Point+nonveg+restaurant/data=!4m7!3m6!1s0x3962fd95e42c00d5:0x2e7576674cfcdeae!8m2!3d22.7243771!4d75.8866933!16s%2Fg%2F11gxw0p_vc!19sChIJ1QAs5JX9YjkRrt78TGd2dS4?authuser=0&hl=en&rclk=1,new restaurants in Indore
The Biryani Republic (Indore 56),https://www.google.com/maps/place/The+Biryani+Republic+%28Indore+56%29/data=!4m7!3m6!1s0x3962fd893dc1ce31:0xafb5d1c1dff2f77b!8m2!3d22.7246976!4d75.884117!16s%2Fg%2F11vszcf321!19sChIJMc7BPYn9YjkRe_fy38HRta8?authuser=0&hl=en&rclk=1,new restaurants in Indore
Kitchen Ministry - Best Restaurant In Indore | Pure Veg (Jeeman),https://www.google.com/maps/place/Kitchen+Ministry+-+Best+Restaurant+In+Indore+%7C+Pure+Veg+%28Jeeman%29/data=!4m7!3m6!1s0x3962fdb02fbc1d49:0x3e5276227dc39bc8!8m2!3d22.7155289!4d75.8752478!16s%2Fg%2F11v5xzt122!19sChIJSR28L7D9YjkRyJvDfSJ2Uj4?authuser=0&hl=en&rclk=1,new restaurants in Indore
Johny Hot Dog,https://www.google.com/maps/place/Johny+Hot+Dog/data=!4m7!3m6!1s0x3962fd38fae99d09:0x3fe6b39432dea85e!8m2!3d22.7240074!4d75.8842247!16s%2Fg%2F1w0hz04v!19sChIJCZ3p-jj9YjkRXqjeMpSz5j8?authuser=0&hl=en&rclk=1,new restaurants in Indore
Alav Restaurant,https://www.google.com/maps/place/Alav+Restaurant/data=!4m7!3m6!1s0x3962fd470c7434ed:0x9ceeb68ef4ef1f84!8m2!3d22.7276471!4d75.8848717!16s%2Fg%2F11bwyhc3_w!19sChIJ7TR0DEf9YjkRhB_v9I627pw?authuser=0&hl=en&rclk=1,new restaurants in Indore
Project Charcoal Rooftop Restaurant,https://www.google.com/maps/place/Project+Charcoal+Rooftop+Restaurant/data=!4m7!3m6!1s0x3962e335849cf1c7:0x3a57704c89c794b2!8m2!3d22.7058535!4d75.9129586!16s%2Fg%2F11tk22l8cy!19sChIJx_GchDXjYjkRspTHiUxwVzo?authuser=0&hl=en&rclk=1,new restaurants in Indore
Ratna Raj Restaurant,https://www.google.com/maps/place/Ratna+Raj+Restaurant/data=!4m7!3m6!1s0x3962fd66ff6c6aaf:0xb747e288f72f8aaa!8m2!3d22.7191366!4d75.8849825!16s%2Fg%2F11s87jn5y3!19sChIJr2ps_2b9YjkRqoov94jiR7c?authuser=0&hl=en&rclk=1,new restaurants in Indore
Cafe Udupi,https://www.google.com/maps/place/Cafe+Udupi/data=!4m7!3m6!1s0x3962fd3831458ca1:0xaa87311c2488276c!8m2!3d22.7236258!4d75.887211!16s%2Fg%2F119wmsn_v!19sChIJoYxFMTj9YjkRbCeIJBwxh6o?authuser=0&hl=en&rclk=1,new restaurants in Indore
AL-QASIM RESTAURANT,https://www.google.com/maps/place/AL-QASIM+RESTAURANT/data=!4m7!3m6!1s0x3962fd5fad9e9b9b:0x418a3999c624f0b4!8m2!3d22.7134059!4d75.8694591!16s%2Fg%2F11qpzv92hz!19sChIJm5uerV_9YjkRtPAkxpk5ikE?authuser=0&hl=en&rclk=1,new restaurants in Indore
One & Only Appe House,https://www.google.com/maps/place/One+%26+Only+Appe+House/data=!4m7!3m6!1s0x3962fdeebef540af:0xe2a899dd021b4660!8m2!3d22.7247799!4d75.8845581!16s%2Fg%2F11j48kpdg8!19sChIJr0D1vu79YjkRYEYbAt2ZqOI?authuser=0&hl=en&rclk=1,new restaurants in Indore
#Wood Cafe,https://www.google.com/maps/place/%23Wood+Cafe/data=!4m7!3m6!1s0x3962fd476e107f7f:0x2094b3144d9456ef!8m2!3d22.7228859!4d75.8868703!16s%2Fg%2F11byxgb88p!19sChIJf38Qbkf9YjkR71aUTRSzlCA?authuser=0&hl=en&rclk=1,new restaurants in Indore
Barbeque Nation - Indore - Treasure Island Mall,https://www.google.com/maps/place/Barbeque+Nation+-+Indore+-+Treasure+Island+Mall/data=!4m7!3m6!1s0x3962fd1272516193:0xf470aeb05e8b2785!8m2!3d22.7213298!4d75.8785573!16s%2Fg%2F11j8l5hfmf!19sChIJk2FRchL9YjkRhSeLXrCucPQ?authuser=0&hl=en&rclk=1,new restaurants in Indore
The Monroe Cafe,https://www.google.com/maps/place/The+Monroe+Cafe/data=!4m7!3m6!1s0x3962fd476996de89:0xdc938936a2d350ea!8m2!3d22.7266989!4d75.8841489!16s%2Fg%2F11byxh3lzz!19sChIJid6WaUf9YjkR6lDTojaJk9w?authuser=0&hl=en&rclk=1,new restaurants in Indore
SPRUZZO THE COCKTAIL GARDEN,https://www.google.com/maps/place/SPRUZZO+THE+COCKTAIL+GARDEN/data=!4m7!3m6!1s0x3962fd38b9a8ee43:0xfef92b2a9b18841a!8m2!3d22.727195!4d75.8845639!16s%2Fg%2F11ksc4ddzl!19sChIJQ-6ouTj9YjkRGoQYmyor-f4?authuser=0&hl=en&rclk=1,new restaurants in Indore
Vijay Chaat House (Chappan Dukan),https://www.google.com/maps/place/Vijay+Chaat+House+%28Chappan+Dukan%29/data=!4m7!3m6!1s0x3962fd38f01dc527:0xea5cd0c67ade6e2d!8m2!3d22.7237365!4d75.8846232!16s%2Fg%2F124yj6xjf!19sChIJJ8Ud8Dj9YjkRLW7eesbQXOo?authuser=0&hl=en&rclk=1,new restaurants in Indore
Feast Lane,https://www.google.com/maps/place/Feast+Lane/data=!4m7!3m6!1s0x3962fd5354c6745b:0xb21dfe8238cd6224!8m2!3d22.7290218!4d75.8857051!16s%2Fg%2F11t6w1_qlt!19sChIJW3TGVFP9YjkRJGLNOIL-HbI?authuser=0&hl=en&rclk=1,new restaurants in Indore
Tanatan Indore,https://www.google.com/maps/place/Tanatan+Indore/data=!4m7!3m6!1s0x3962e3002810d6b5:0xf6c91dd33d83cc9a!8m2!3d22.7277804!4d75.9313668!16s%2Fg%2F11wv7yzgwm!19sChIJtdYQKADjYjkRmsyDPdMdyfY?authuser=0&hl=en&rclk=1,new restaurants in Indore
JMB Restaurant,https://www.google.com/maps/place/JMB+Restaurant/data=!4m7!3m6!1s0x3962fd3ff49a312f:0xe486be4bf1a6804a!8m2!3d22.7243385!4d75.8778121!16s%2Fg%2F11g6hz0xc7!19sChIJLzGa9D_9YjkRSoCm8Uu-huQ?authuser=0&hl=en&rclk=1,new restaurants in Indore
Oh Indore Restaurant and cafe,https://www.google.com/maps/place/Oh+Indore+Restaurant+and+cafe/data=!4m7!3m6!1s0x3962fd3212145a29:0x6b370b6a5f75662f!8m2!3d22.6997837!4d75.8667614!16s%2Fg%2F11p0_bdbmx!19sChIJKVoUEjL9YjkRL2Z1X2oLN2s?authuser=0&hl=en&rclk=1,new restaurants in Indore
Hotel 🏨,https://www.google.com/maps/place/Hotel+%F0%9F%8F%A8/data=!4m7!3m6!1s0x3962fd160ce31c23:0xc4f526d145c41d93!8m2!3d22.7195467!4d75.8836775!16s%2Fg%2F11byxh2lpb!19sChIJIxzjDBb9YjkRkx3ERdEm9cQ?authuser=0&hl=en&rclk=1,new restaurants in Indore
Asia Seven Indore,https://www.google.com/maps/place/Asia+Seven+Indore/data=!4m7!3m6!1s0x3962fdc4bce7d059:0x5af7fe0d70215aeb!8m2!3d22.7211357!4d75.8787169!16s%2Fg%2F11rxmqr0t0!19sChIJWdDnvMT9YjkR61ohcA3-91o?authuser=0&hl=en&rclk=1,new restaurants in Indore
Young Tarang Restaurant,https://www.google.com/maps/place/Young+Tarang+Restaurant/data=!4m7!3m6!1s0x3962fd3892d4c3eb:0xaa1524c22f96bb8f!8m2!3d22.7243758!4d75.8843831!16s%2Fg%2F11bbtcbxs4!19sChIJ68PUkjj9YjkRj7uWL8IkFao?authuser=0&hl=en&rclk=1,new restaurants in Indore
