restaurant_name,rating,category,address,phone,website,google_maps_url
Shree Chotiwala Restaurant,3.9,North Indian restaurant,,,,https://www.google.com/maps/place/Shree+Chotiwala+Restaurant/data=!4m7!3m6!1s0x3962fd1640000001:0xfc42c4d50be8e388!8m2!3d22.7195033!4d75.8767926!16s%2Fg%2F1vxw6p1p!19sChIJAQAAQBb9YjkRiOPoC9XEQvw?authuser=0&hl=en&rclk=1
MBA THALIWALA,4.6,North Indian restaurant,"
LG-5, Vidyapati Building, Race Course Rd, Janjeerwala Square, Opp. BBC, New Palasia, Indore, Madhya Pradesh 452003",,,https://www.google.com/maps/place/MBA+THALIWALA/data=!4m7!3m6!1s0x3962fdd818306ff1:0x8d29ce6b3961ed09!8m2!3d22.7266879!4d75.8799462!16s%2Fg%2F11q9m6blbv!19sChIJ8W8wGNj9YjkRCe1hOWvOKY0?authuser=0&hl=en&rclk=1
Funeats - Pure Veg | Cafe & Restaurant | Party Place,4.0,Cafe,,,,https://www.google.com/maps/place/Funeats+-+Pure+Veg+%7C+Cafe+%26+Restaurant+%7C+Party+Place/data=!4m7!3m6!1s0x3962fd73cca75ddf:0x31d3c590d6385d0a!8m2!3d22.7210768!4d75.8787311!16s%2Fg%2F11m0tg8n_3!19sChIJ312nzHP9YjkRCl041pDF0zE?authuser=0&hl=en&rclk=1
Shrivari Cafe - South Indian Restaurant,4.8,Restaurant,,,,https://www.google.com/maps/place/Shrivari+Cafe+-+South+Indian+Restaurant/data=!4m7!3m6!1s0x3962fd10d68f67eb:0x67712821d0aa8b98!8m2!3d22.7191746!4d75.8748763!16s%2Fg%2F11ytfk8slr!19sChIJ62eP1hD9YjkRmIuq0CEocWc?authuser=0&hl=en&rclk=1
Herb's & Chillies (Saffron Cafe & Restro),4.6,Non Vegetarian Restaurant,,,,https://www.google.com/maps/place/Herb%27s+%26+Chillies+%28Saffron+Cafe+%26+Restro%29/data=!4m7!3m6!1s0x3962fda93857dab1:0x28c9c751657d5fba!8m2!3d22.7008461!4d75.8447307!16s%2Fg%2F11pz7y0qck!19sChIJsdpXOKn9YjkRul99ZVHHySg?authuser=0&hl=en&rclk=1
Daawat Sapphire Star,4.7,Vegetarian restaurant,,,,https://www.google.com/maps/place/Daawat+Sapphire+Star/data=!4m7!3m6!1s0x3962fdf79a411e7b:0xd6afa7df54e7c6eb!8m2!3d22.7253647!4d75.8845819!16s%2Fg%2F11t3_5jn85!19sChIJex5Bmvf9YjkR68bnVN-nr9Y?authuser=0&hl=en&rclk=1
Suffa Restaurant,4.1,Restaurant,,,,https://www.google.com/maps/place/Suffa+Restaurant/data=!4m7!3m6!1s0x3962fd27a00d0e57:0xff7e0dc76ef64d6a!8m2!3d22.7257264!4d75.8838823!16s%2Fg%2F11j48c3wkk!19sChIJVw4NoCf9YjkRak32bscNfv8?authuser=0&hl=en&rclk=1
Cafe @ Blu,4.0,Cafe,,,,https://www.google.com/maps/place/Cafe+@+Blu/data=!4m7!3m6!1s0x3962fd3b99ac935d:0x3250e40310670634!8m2!3d22.7178889!4d75.8839521!16s%2Fg%2F1pzq601nb!19sChIJXZOsmTv9YjkRNAZnEAPkUDI?authuser=0&hl=en&rclk=1
Cafe Bakewell,4.0,Restaurant,"
Plot No 2A, Ground Floor, Hotel Crown Palace, Near Geeta Bhavan Square Kanchan Bagh, South Tukoganj, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Cafe+Bakewell/data=!4m7!3m6!1s0x3962fd3c1f4bdeaf:0x9fbc80b791e196e6!8m2!3d22.719512!4d75.8836762!16s%2Fg%2F1260ct7z2!19sChIJr95LHzz9YjkR5pbhkbeAvJ8?authuser=0&hl=en&rclk=1
Burger Farm,4.2,Fast food restaurant,"
Shop No. 5, Ground Floor, 22/3, Tulsi Tower, 01, Gita Bhawan Rd, South Tukoganj, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Burger+Farm/data=!4m7!3m6!1s0x3962fd31016a1407:0x6967d36929f17fa1!8m2!3d22.7188535!4d75.883832!16s%2Fg%2F11v0z1dntm!19sChIJBxRqATH9YjkRoX_xKWnTZ2k?authuser=0&hl=en&rclk=1
Hotel Goldy,4.2,Restaurant,"
Dawa Bazar, Madhumilan, Square, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Hotel+Goldy/data=!4m7!3m6!1s0x3962fd5669ef3bff:0x47273ef6834e017f!8m2!3d22.7133637!4d75.8766447!16s%2Fg%2F11gq_zsv1t!19sChIJ_zvvaVb9YjkRfwFOg_Y-J0c?authuser=0&hl=en&rclk=1
Barbeque Nation - Indore - Treasure Island Mall,4.3,Restaurant,,,,https://www.google.com/maps/place/Barbeque+Nation+-+Indore+-+Treasure+Island+Mall/data=!4m7!3m6!1s0x3962fd1272516193:0xf470aeb05e8b2785!8m2!3d22.7213298!4d75.8785573!16s%2Fg%2F11j8l5hfmf!19sChIJk2FRchL9YjkRhSeLXrCucPQ?authuser=0&hl=en&rclk=1
Alav Restaurant,4.0,Vegetarian restaurant,,,,https://www.google.com/maps/place/Alav+Restaurant/data=!4m7!3m6!1s0x3962fd470c7434ed:0x9ceeb68ef4ef1f84!8m2!3d22.7276471!4d75.8848717!16s%2Fg%2F11bwyhc3_w!19sChIJ7TR0DEf9YjkRhB_v9I627pw?authuser=0&hl=en&rclk=1
"La Pino'z Pizza-Gita Bhawan Rd, Indore (MP)",4.4,Pizza restaurant,,,,"https://www.google.com/maps/place/La+Pino%27z+Pizza-Gita+Bhawan+Rd,+Indore+%28MP%29/data=!4m7!3m6!1s0x3962fdbd51e82c4d:0x29500cb019ff5ed1!8m2!3d22.7187743!4d75.8838692!16s%2Fg%2F11fs315xl1!19sChIJTSzoUb39YjkR0V7_GbAMUCk?authuser=0&hl=en&rclk=1"
Lotus Hut Cafe,4.2,Cafe,"
PVCG+88P, Mahatma Gandhi Rd, Next To Amrit, Residency, South Tukoganj, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Lotus+Hut+Cafe/data=!4m7!3m6!1s0x3962fd158c5708c7:0x3b67a2b95a8d23de!8m2!3d22.720828!4d75.8758399!16s%2Fg%2F11dympbhk4!19sChIJxwhXjBX9YjkR3iONWrmiZzs?authuser=0&hl=en&rclk=1
Karnawat Bhojan Prashadi,4.2,Restaurant,"
PV6J+M3W My Hospital, Jaora Compound Main Rd, Ushaganj, Murai Mohalla, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Karnawat+Bhojan+Prashadi/data=!4m7!3m6!1s0x3962fdc1625dda67:0x81d10b1627f1ae24!8m2!3d22.7117969!4d75.8802734!16s%2Fg%2F11k9j3prvx!19sChIJZ9pdYsH9YjkRJK7xJxYL0YE?authuser=0&hl=en&rclk=1
Cafe Golden Chimney | Family Restaurant | Tiffin centre,4.9,Tiffin Service Provider,"
Alankar point, B 13, Gita Bhawan Rd, Rajgarh Kothi, Manorama Ganj, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Cafe+Golden+Chimney+%7C+Family+Restaurant+%7C+Tiffin+centre/data=!4m7!3m6!1s0x3962fd3bb683c575:0xb508e109d95179f9!8m2!3d22.7183031!4d75.8847964!16s%2Fg%2F11s4vct3h2!19sChIJdcWDtjv9YjkR-XlR2QnhCLU?authuser=0&hl=en&rclk=1
Manvaar Restaurant Pure Veg Thali,4.9,Restaurant,"
38, Street Number 1, near Imambada, Nihalpura, Rajwada, Indore, Madhya Pradesh 452005",,,https://www.google.com/maps/place/Manvaar+Restaurant+Pure+Veg+Thali/data=!4m7!3m6!1s0x3962fda88ee49a1f:0x61d38b418bb835ce!8m2!3d22.7175618!4d75.8540996!16s%2Fg%2F11msmqqfhd!19sChIJH5rkjqj9YjkRzjW4i0GL02E?authuser=0&hl=en&rclk=1
Bapu Ki Kutia (since 1964),4.4,North Indian restaurant,,,,https://www.google.com/maps/place/Bapu+Ki+Kutia+%28since+1964%29/data=!4m7!3m6!1s0x3962fde405bd157b:0xf30d447fff1157f4!8m2!3d22.7288138!4d75.8879449!16s%2Fg%2F11v5sm95l8!19sChIJexW9BeT9YjkR9FcR_39EDfM?authuser=0&hl=en&rclk=1
Golden Treat,4.4,North Indian restaurant,"
PV9M+RGC, Hotel Crown Palace, 2A, Kanchan Bagh, South Tukoganj, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Golden+Treat/data=!4m7!3m6!1s0x3962fd3be7309491:0x5ecafdb670684047!8m2!3d22.7195645!4d75.8837588!16s%2Fg%2F11byxgdwkz!19sChIJkZQw5zv9YjkRR0BocLb9yl4?authuser=0&hl=en&rclk=1
Alba Bistro,4.7,Bistro,,,,https://www.google.com/maps/place/Alba+Bistro/data=!4m7!3m6!1s0x3962fd40a7fa9ff5:0xafe8d23fb6b29b85!8m2!3d22.7439472!4d75.8929235!16s%2Fg%2F11rj63sr0q!19sChIJ9Z_6p0D9YjkRhZuytj_S6K8?authuser=0&hl=en&rclk=1
Goodluck Bar and Restaurant,4.3,Bar & grill,,,,https://www.google.com/maps/place/Goodluck+Bar+and+Restaurant/data=!4m7!3m6!1s0x3962fd27b76220df:0x61ac1bb4f862d105!8m2!3d22.7345822!4d75.8757339!16s%2Fg%2F11pz7t4rd1!19sChIJ3yBityf9YjkRBdFi-LQbrGE?authuser=0&hl=en&rclk=1
Shri Bhairav Chat,4.0,Fast food restaurant,"
Shop No. 4/5 5, Jail Road, Chiman Bagh Chauraha, Indore GPO, Indore, Madhya Pradesh 452007",,,https://www.google.com/maps/place/Shri+Bhairav+Chat/data=!4m7!3m6!1s0x3962fd72d617505d:0x3dfd0e755a426f7a!8m2!3d22.7243754!4d75.8624138!16s%2Fg%2F1q62grrgv!19sChIJXVAX1nL9YjkRem9CWnUO_T0?authuser=0&hl=en&rclk=1
Mid Flight - Family Garden Restaurant & Cafeteria - Best Restaurant In Indore | Best Family Restaurant In Indore | Best Cafe,4.6,Family restaurant,,,,https://www.google.com/maps/place/Mid+Flight+-+Family+Garden+Restaurant+%26+Cafeteria+-+Best+Restaurant+In+Indore+%7C+Best+Family+Restaurant+In+Indore+%7C+Best+Cafe/data=!4m7!3m6!1s0x3962fdf77b113fc1:0x8c1a249674dc9c03!8m2!3d22.7302314!4d75.8142348!16s%2Fg%2F11h_78mlw0!19sChIJwT8Re_f9YjkRA5zcdJYkGow?authuser=0&hl=en&rclk=1
Naman - Namkeen Sweets & Bakery,4.3,Indian sweets shop,"
20-21, Netaji Subhash Marg, Near Patidar Nursing Home, Chimanbag, Nagar Nigam, Indore, Madhya Pradesh 452007",,,https://www.google.com/maps/place/Naman+-+Namkeen+Sweets+%26+Bakery/data=!4m7!3m6!1s0x3962fd6d5c629411:0x98288150e2c305e8!8m2!3d22.7239626!4d75.8603796!16s%2Fg%2F1w110lgb!19sChIJEZRiXG39YjkR6AXD4lCBKJg?authuser=0&hl=en&rclk=1
Bhartiya Bhojnalay,4.1,North Indian restaurant,"
5-B, Ground floor, Kalyan Vishranthi House Film Colony Road Choti Line, opposite Railway Station Road, Ranisarai, Chhoti Gwaltoli, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Bhartiya+Bhojnalay/data=!4m7!3m6!1s0x3962fd114f72bc4f:0x7784646624f220a2!8m2!3d22.7177779!4d75.8702714!16s%2Fg%2F1q64gbm2g!19sChIJT7xyTxH9YjkRoiDyJGZkhHc?authuser=0&hl=en&rclk=1
Atriaa Restaurant,4.1,Restaurant,"
Ground Floor, Abhay Prashal, Campus, Race Course Road, Indore, Madhya Pradesh 452003",,,https://www.google.com/maps/place/Atriaa+Restaurant/data=!4m7!3m6!1s0x3962fd537edd37df:0xe240cbbfe4ae0614!8m2!3d22.724977!4d75.87763!16s%2Fg%2F11vj56dxtq!19sChIJ3zfdflP9YjkRFAau5L_LQOI?authuser=0&hl=en&rclk=1
Maharaja Kachori Corner,4.2,Breakfast restaurant,,,,https://www.google.com/maps/place/Maharaja+Kachori+Corner/data=!4m7!3m6!1s0x3962fd0db5855d43:0x9b626a1c9dc33752!8m2!3d22.7195908!4d75.8623458!16s%2Fg%2F11c55g9_7y!19sChIJQ12FtQ39YjkRUjfDnRxqYps?authuser=0&hl=en&rclk=1
Punjabi Lassi,4.4,Restaurant,"
187, Jail Rd, near Novelty Market, Jail Road, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Punjabi+Lassi/data=!4m7!3m6!1s0x3962fd0c5696947b:0xf9dc6cec04396de!8m2!3d22.7203409!4d75.8616627!16s%2Fg%2F11gdt0m2l7!19sChIJe5SWVgz9YjkR3pZDwM7GnQ8?authuser=0&hl=en&rclk=1
Indian Coffee House DIG Office compound,4.3,Indian restaurant,,,,https://www.google.com/maps/place/Indian+Coffee+House+DIG+Office+compound/data=!4m7!3m6!1s0x3962fd14003da883:0x57f077492bb2da97!8m2!3d22.7189051!4d75.871003!16s%2Fg%2F11b75qgztx!19sChIJg6g9ABT9YjkRl9qyK0l38Fc?authuser=0&hl=en&rclk=1
Shree Gurukripa Restaurant,4.0,North Indian restaurant,,,,https://www.google.com/maps/place/Shree+Gurukripa+Restaurant/data=!4m7!3m6!1s0x3962fd1094ac41e1:0xab23549077cbb09b!8m2!3d22.7142642!4d75.8690372!16s%2Fg%2F1q662wtf5!19sChIJ4UGslBD9YjkRm7DLd5BUI6s?authuser=0&hl=en&rclk=1
